date,site,bayArea,gear,twine,gearDepth,sample,speciesCode,commonName,trophicPosition,cue,cueWt,meanWt
5/12/72,BQ05,MB,GL01,Multi,,3,194,Golden shiner,Plantivore,0.333,0.017,0.050
5/12/72,BQ05,MB,GL01,Multi,,3,61,Alewife,Plantivore,1053.000,27.600,0.040
5/12/72,BQ05,MB,GL01,Multi,,3,63,Gizzard shad,Herbivore,5.750,9.200,0.530
5/12/72,BQ05,MB,GL01,Multi,,3,233,Brown bullhead,Benthivore,0.661,0.172,0.260
5/12/72,BQ05,MB,GL01,Multi,,4,301,White perch,Benthivore,52.732,5.438,0.103
5/12/72,BQ05,MB,GL01,Multi,,4,316,Smallmouth bass,Piscivore,0.376,0.215,0.572
5/12/72,BQ05,MB,GL01,Multi,,5,331,Yellow perch,Benthivore,255.088,14.061,0.055
6/18/74,BQ05,UB,GL01,Multi,4.6,2,61,Alewife,Plantivore,1136.244,33.732,0.030
6/18/74,BQ05,UB,GL01,Multi,4.6,2,63,Gizzard shad,Herbivore,12.843,8.035,0.626
6/18/74,BQ05,UB,GL01,Multi,4.6,3,131,Northern pike,Piscivore,0.664,0.542,0.816
6/18/74,BQ05,UB,GL01,Multi,4.6,3,163,White sucker,Benthivore,1.330,0.720,0.541
6/18/74,BQ05,UB,GL01,Multi,4.6,3,331,Yellow perch,Benthivore,200.000,18.000,0.065
